id;name_rus;element_number;element_name;info;base_value;multiplayer;grade_of_execution;scores_of_panel;rank;total_segment_score;total_element_score;total_component_score;total_deductions;type
id40;Анна ФРОЛОВА;1;3Lz+3T;;10.1;;1.01;11.11;11;67.84;34.92;32.92;0;sp
id40;Анна ФРОЛОВА;2;FSSp3;;2.6;;0.56;3.16;11;67.84;34.92;32.92;0;sp
id40;Анна ФРОЛОВА;3;2A;;3.3;;0.8;4.1;11;67.84;34.92;32.92;0;sp
id40;Анна ФРОЛОВА;4;3Lo;;5.39;x;0.98;6.37;11;67.84;34.92;32.92;0;sp
id40;Анна ФРОЛОВА;5;StSq2;;2.6;;0.71;3.31;11;67.84;34.92;32.92;0;sp
id40;Анна ФРОЛОВА;6;CCoSp4;;3.5;;0.7;4.2;11;67.84;34.92;32.92;0;sp
id40;Анна ФРОЛОВА;7;LSp3;;2.4;;0.27;2.67;11;67.84;34.92;32.92;0;sp
id34;Ксения ГУЩИНА;1;2A;;3.3;;0.9;4.2;12;67.64;36.19;31.45;0;sp
id34;Ксения ГУЩИНА;2;3F+3T;;9.5;;1.06;10.56;12;67.64;36.19;31.45;0;sp
id34;Ксения ГУЩИНА;3;CCoSp4;;3.5;;0.6;4.1;12;67.64;36.19;31.45;0;sp
id34;Ксения ГУЩИНА;4;3Lz!;!;6.49;x;0.17;6.66;12;67.64;36.19;31.45;0;sp
id34;Ксения ГУЩИНА;5;FCSp4;;3.2;;0.96;4.16;12;67.64;36.19;31.45;0;sp
id34;Ксения ГУЩИНА;6;StSq2;;2.6;;0.52;3.12;12;67.64;36.19;31.45;0;sp
id34;Ксения ГУЩИНА;7;LSp4;;2.7;;0.69;3.39;12;67.64;36.19;31.45;0;sp
id14;Алина ГОРБАЧЁВА;1;2A;;3.3;;0.9;4.2;13;67.22;35.4;31.82;0;sp
id14;Алина ГОРБАЧЁВА;2;3Lo;;4.9;;1.33;6.23;13;67.22;35.4;31.82;0;sp
id14;Алина ГОРБАЧЁВА;3;FCSp4;;3.2;;1.05;4.25;13;67.22;35.4;31.82;0;sp
id14;Алина ГОРБАЧЁВА;4;3Lz+3Tq;q;11.11;x;-1.6;9.51;13;67.22;35.4;31.82;0;sp
id14;Алина ГОРБАЧЁВА;5;CCoSp3;;3.0;;0.6;3.6;13;67.22;35.4;31.82;0;sp
id14;Алина ГОРБАЧЁВА;6;StSq3;;3.3;;0.8;4.1;13;67.22;35.4;31.82;0;sp
id14;Алина ГОРБАЧЁВА;7;LSp4;;2.7;;0.81;3.51;13;67.22;35.4;31.82;0;sp
id10;Мария ПАРАМОНОВА;1;3Lo;;4.9;;0.98;5.88;14;67.14;36.17;30.97;0;sp
id10;Мария ПАРАМОНОВА;2;2A;;3.3;;0.9;4.2;14;67.14;36.17;30.97;0;sp
id10;Мария ПАРАМОНОВА;3;3Lz+3T;;11.11;x;1.18;12.29;14;67.14;36.17;30.97;0;sp
id10;Мария ПАРАМОНОВА;4;FCSp4;;3.2;;0.87;4.07;14;67.14;36.17;30.97;0;sp
id10;Мария ПАРАМОНОВА;5;StSq2;;2.6;;0.63;3.23;14;67.14;36.17;30.97;0;sp
id10;Мария ПАРАМОНОВА;6;CCoSp3;;3.0;;0.69;3.69;14;67.14;36.17;30.97;0;sp
id10;Мария ПАРАМОНОВА;7;LSp3;;2.4;;0.41;2.81;14;67.14;36.17;30.97;0;sp
id24;Виктория ФЕДЯНИНА;1;3Lz+3Tq;q;10.1;;-0.76;9.34;15;60.96;30.52;30.44;0;sp
id24;Виктория ФЕДЯНИНА;2;3Fe;e;4.24;;-0.79;3.45;15;60.96;30.52;30.44;0;sp
id24;Виктория ФЕДЯНИНА;3;CCoSp4;;3.5;;0.8;4.3;15;60.96;30.52;30.44;0;sp
id24;Виктория ФЕДЯНИНА;4;2A;;3.63;x;0.66;4.29;15;60.96;30.52;30.44;0;sp
id24;Виктория ФЕДЯНИНА;5;FSSp3;;2.6;;0.45;3.05;15;60.96;30.52;30.44;0;sp
id24;Виктория ФЕДЯНИНА;6;StSq2;;2.6;;0.37;2.97;15;60.96;30.52;30.44;0;sp
id24;Виктория ФЕДЯНИНА;7;LSp4;;2.7;;0.42;3.12;15;60.96;30.52;30.44;0;sp
id6;Агнета ЛАТУШКИНА;1;2A;;3.3;;0.61;3.91;16;52.84;25.76;28.08;-1;sp
id6;Агнета ЛАТУШКИНА;2;3Lzq+3T<;q;9.26;;-2.11;7.15;16;52.84;25.76;28.08;-1;sp
id6;Агнета ЛАТУШКИНА;3;CCoSp4;;3.5;;0.6;4.1;16;52.84;25.76;28.08;-1;sp
id6;Агнета ЛАТУШКИНА;4;3F<<;F;1.98;x;-0.9;1.08;16;52.84;25.76;28.08;-1;sp
id6;Агнета ЛАТУШКИНА;5;FCSp4;;3.2;;0.64;3.84;16;52.84;25.76;28.08;-1;sp
id6;Агнета ЛАТУШКИНА;6;StSq2;;2.6;;0.26;2.86;16;52.84;25.76;28.08;-1;sp
id6;Агнета ЛАТУШКИНА;7;LSp4;;2.7;;0.12;2.82;16;52.84;25.76;28.08;-1;sp
id35;Виктория НЕСТЕРОВА;1;3Lz+3T;;10.1;;0.42;10.52;17;51.5;24.85;27.65;-1;sp
id35;Виктория НЕСТЕРОВА;2;2Aq;q;3.3;;-0.33;2.97;17;51.5;24.85;27.65;-1;sp
id35;Виктория НЕСТЕРОВА;3;CCoSp2V;nS;1.88;;0.22;2.1;17;51.5;24.85;27.65;-1;sp
id35;Виктория НЕСТЕРОВА;4;3Lo<;F;4.31;x;-1.96;2.35;17;51.5;24.85;27.65;-1;sp
id35;Виктория НЕСТЕРОВА;5;FCSp2;;2.3;;0.33;2.63;17;51.5;24.85;27.65;-1;sp
id35;Виктория НЕСТЕРОВА;6;StSq1;;1.8;;0.23;2.03;17;51.5;24.85;27.65;-1;sp
id35;Виктория НЕСТЕРОВА;7;LSp2;;1.9;;0.35;2.25;17;51.5;24.85;27.65;-1;sp
